carat,cut,color,clarity,depth,table,price,x,y,z
0.46,Ideal,E,VS2,62.1,57,1251,4.93,4.89,3.05
0.41,Ideal,D,VS2,62.8,55,1076,4.73,4.7,2.96
1.54,Premium,E,SI1,59.3,60,11795,7.58,7.54,4.48
0.3,Very Good,E,VS2,62.6,58,658,4.25,4.28,2.67
1.04,Premium,G,VS2,60,58,6122,6.62,6.54,3.95
0.31,Ideal,H,SI1,62.9,56,558,4.31,4.27,2.7
1.75,Very Good,J,VS1,61.5,59,10681,7.75,7.83,4.79
0.32,Ideal,E,SI2,62,55,449,4.36,4.41,2.72
2.18,Ideal,I,VS2,62,57,13769,8.35,8.24,5.14
1.21,Very Good,H,SI1,62.8,56,6022,6.8,6.83,4.28
0.4,Ideal,G,IF,61.8,55,1239,4.75,4.79,2.95
1.51,Premium,D,VS2,61.7,58,15531,7.33,7.29,4.51
0.53,Very Good,E,SI2,63.2,54,1227,5.19,5.16,3.27
0.31,Very Good,F,SI2,63,58,408,4.34,4.36,2.74
0.61,Ideal,H,SI1,61.9,54,1416,5.44,5.48,3.38
1.53,Ideal,D,SI1,61.4,58,12981,7.35,7.44,4.54
0.31,Ideal,H,VS1,61.7,57,544,4.34,4.38,2.69
0.41,Premium,F,VS2,62.6,58,1107,4.81,4.75,2.99
0.56,Very Good,D,IF,62.5,59,4025,5.26,5.3,3.3
0.3,Ideal,F,VS2,62.3,57,605,4.3,4.33,2.69
1.5,Very Good,H,VS1,63.4,56,10584,7.29,7.25,4.61
0.34,Fair,F,VS2,64.7,55,816,4.52,4.41,2.89
1.53,Ideal,G,VVS2,61.2,57,15137,7.4,7.44,4.53
0.23,Very Good,D,VVS2,62,58,530,3.94,3.96,2.45
0.23,Very Good,E,VVS1,61.3,59,530,3.93,3.97,2.42
2.07,Ideal,G,SI2,62.2,54,17614,8.16,8.21,5.09
0.4,Very Good,F,SI1,62.2,57,737,4.67,4.72,2.92
0.54,Very Good,D,SI1,62.1,58,1662,5.21,5.23,3.24
0.8,Very Good,E,VS1,60.7,60,4118,6,6.09,3.67
0.71,Very Good,H,VS1,62.8,59,2428,5.61,5.7,3.55
0.3,Premium,E,VS2,62,60,844,4.26,4.23,2.63
0.3,Ideal,F,IF,61.4,56,886,4.32,4.34,2.66
0.3,Ideal,E,VS2,61.7,55,658,4.3,4.32,2.66
0.3,Ideal,D,VS1,61.8,56,661,4.3,4.34,2.67
1.07,Ideal,G,VS2,62.3,57,6558,6.58,6.54,4.09
0.94,Very Good,F,SI2,62.6,57,3938,6.25,6.27,3.92
0.83,Ideal,E,SI2,61.3,57,3125,6.02,6.05,3.7
1.96,Fair,I,I1,66.8,55,6147,7.62,7.6,5.08
1.06,Good,I,VS1,58.8,62,4887,6.65,6.72,3.93
0.32,Very Good,F,VS2,60.2,59,645,4.4,4.43,2.66
2.02,Premium,I,SI1,62.5,59,16191,8.05,8.01,5.02
0.9,Premium,I,VS2,59.8,61,3431,6.22,6.13,3.69
0.4,Ideal,D,VVS2,62.8,56,1111,4.68,4.72,2.95
0.32,Ideal,F,IF,61.8,54,943,4.44,4.46,2.75
0.32,Premium,D,VS2,62,57,972,4.42,4.38,2.73
0.3,Fair,F,VS2,56.3,64,729,4.44,4.39,2.5
0.31,Ideal,G,VS1,62.4,55,802,4.35,4.33,2.71
0.3,Good,I,SI1,63.4,57,394,4.23,4.25,2.69
0.32,Ideal,E,VS2,62.2,55,900,4.38,4.36,2.72
2.15,Ideal,G,SI2,62.6,54,18791,8.29,8.35,5.21
0.4,Ideal,E,VS2,61.9,54,1020,4.74,4.73,2.93
0.69,Premium,I,SI1,62,59,1636,5.66,5.63,3.5
0.71,Ideal,F,SI2,62.1,54,2365,5.73,5.76,3.57
0.9,Fair,E,SI1,64.9,56,3743,6.12,6.18,3.99
2,Very Good,H,SI1,63.2,54,13320,7.97,7.88,5.01
2.01,Ideal,F,SI2,61.9,55,18395,8.1,8.05,5
0.79,Ideal,D,SI1,61.3,54,3328,5.96,6.01,3.67
1,Fair,F,SI1,64.8,59,5292,6.29,6.24,4.06
1.12,Very Good,D,SI2,59.3,59,5243,6.76,6.8,4.02
0.31,Ideal,F,VVS1,61.4,55,1074,4.37,4.39,2.69
1.5,Fair,E,SI2,66.3,60,10080,7.09,7.02,4.68
0.51,Very Good,E,VS2,63.3,55,1638,5.12,5.09,3.23
0.9,Good,H,SI1,60.5,64,3125,6.18,6.11,3.72
0.71,Premium,D,VS2,62.1,60,3002,5.68,5.72,3.54
1.01,Ideal,E,SI1,62.1,54,5599,6.5,6.41,4.01
2.1,Premium,H,SI2,60.4,59,16629,8.33,8.28,5.02
0.25,Ideal,H,VS2,61,55,472,4.11,4.09,2.5
2.26,Very Good,H,SI2,63.3,59,13923,8.35,8.26,5.25
0.46,Good,F,IF,57.5,58,1806,5.12,5.18,2.96
0.57,Fair,F,VVS2,65.2,56.2,1902,5.19,5.23,3.4
0.32,Premium,G,VVS2,62,55,936,4.42,4.39,2.73
0.5,Premium,H,SI1,62.1,60,1219,5.06,5.02,3.13
0.7,Ideal,F,VS2,62.3,55,2622,5.71,5.65,3.54
1.2,Very Good,G,VVS2,60.7,60,9169,6.8,6.84,4.14
0.5,Ideal,E,VS1,62.7,57,1745,5.04,5.11,3.18
1.28,Premium,I,VS1,61.1,61,6583,7.01,6.96,4.27
0.4,Premium,F,VVS1,60.8,59,1323,4.76,4.74,2.89
1.01,Ideal,H,SI1,62.6,55,4836,6.43,6.39,4.01
0.35,Ideal,D,VS2,61.9,55,829,4.5,4.54,2.8
0.54,Ideal,D,VS2,61.8,56,1993,5.24,5.21,3.23
1.5,Good,F,I1,63.7,59,3864,7.29,7.18,4.62
0.5,Premium,D,VS2,62.9,61,1845,5.03,4.96,3.14
1.03,Premium,H,VS2,63,59,5364,6.47,6.36,4.04
0.29,Premium,I,VS2,62.4,58,429,4.23,4.2,2.63
0.9,Good,E,VS2,63.7,58,3948,6.06,6.09,3.87
1,Very Good,F,SI2,63.5,55,3858,6.37,6.32,4.03
1.16,Premium,H,SI1,61.2,58,5554,6.81,6.76,4.15
1.32,Good,I,VS1,59.2,58,7143,7.14,7.18,4.24
1.13,Ideal,J,SI2,61.9,56,4371,6.67,6.71,4.14
0.54,Ideal,E,VS2,60.5,56,1754,5.26,5.28,3.19
1.59,Very Good,D,SI1,62.8,54,13631,7.43,7.48,4.68
1.29,Ideal,G,SI1,60.9,59,7463,6.99,7.04,4.27
0.3,Very Good,D,VS2,62,59,710,4.22,4.27,2.63
0.31,Ideal,D,VS2,62.3,55,734,4.33,4.37,2.71
0.7,Ideal,E,VS2,62.6,55,3268,5.66,5.68,3.55
0.54,Ideal,E,VS1,62.6,55,1823,5.22,5.2,3.26
1.01,Premium,F,VS1,60.8,59,7017,6.45,6.41,3.91
0.38,Ideal,F,SI1,62.2,54,660,4.64,4.66,2.89
0.4,Premium,E,SI1,61,59,687,4.71,4.74,2.88
0.7,Very Good,F,SI1,58.4,63,2058,5.77,5.84,3.39
0.57,Ideal,F,IF,61.8,54,2974,5.33,5.35,3.3
0.56,Fair,H,VS2,52.7,70,1293,5.71,5.57,2.97
1.74,Ideal,G,VS2,62.9,57,16316,7.68,7.64,4.82
0.26,Good,E,VVS1,59.4,61,597,4.13,4.15,2.46
1.5,Fair,J,VS1,60.1,61,7819,7.25,7.3,4.37
1.01,Ideal,E,VS1,60.4,59,7458,6.52,6.5,3.93
0.47,Premium,G,SI1,59.5,60,1110,5.09,5.06,3.02
0.55,Premium,E,VS2,61.1,58,2030,5.3,5.28,3.23
0.31,Ideal,F,VS2,60.8,56,625,4.38,4.41,2.67
1.21,Ideal,H,SI2,61.1,56,6098,6.92,6.87,4.21
0.39,Premium,G,VS1,62.4,57,1097,4.68,4.62,2.9
0.7,Ideal,G,VS2,62.7,54,3172,5.65,5.7,3.65
1,Very Good,E,SI1,59.6,60,5351,6.43,6.48,3.85
1.01,Premium,J,SI2,61.7,58,3499,6.4,6.44,3.96
1.05,Ideal,D,SI2,60.2,57,4932,6.58,6.65,3.98
1.2,Very Good,F,VS1,61.6,61,9203,6.81,6.86,4.21
1.53,Premium,I,SI1,62.6,57,9022,7.38,7.29,4.59
0.53,Ideal,D,VS2,61.4,55,1857,5.21,5.25,3.21
1,Good,E,VS1,60.1,63,7556,6.42,6.45,3.87
0.72,Premium,D,VS2,61,59,2721,5.77,5.74,3.51
0.58,Very Good,F,SI2,63,56,1173,5.34,5.26,3.34
1.01,Ideal,E,VS1,61.5,57,7727,6.47,6.44,3.97
1.06,Very Good,H,SI1,60.2,59,4900,6.6,6.55,3.96
1.01,Good,G,SI1,63.2,59,5021,6.32,6.36,4.01
0.23,Very Good,E,VVS2,60.8,61,505,3.91,3.94,2.39
0.39,Ideal,G,SI2,60.9,56,716,4.78,4.74,2.9
1.01,Good,E,SI2,63.2,59,4479,6.34,6.38,4.02
1.23,Ideal,I,SI1,61.8,58,6389,6.87,6.91,4.26
0.41,Ideal,D,VS1,62.3,56,1018,4.71,4.79,2.96
1.51,Good,J,SI2,58.1,64,6104,7.53,7.57,4.39
0.57,Very Good,G,VS1,59.3,56,1648,5.38,5.44,3.21
0.37,Ideal,I,VS1,60.8,56,603,4.67,4.71,2.85
0.53,Ideal,G,SI1,61,55,1439,5.23,5.26,3.2
1.03,Ideal,G,VVS1,61.7,56,7708,6.45,6.56,4
0.24,Ideal,F,IF,62.9,55,678,3.96,3.98,2.5
0.71,Very Good,G,VS2,63.1,58,2515,5.69,5.6,3.56
0.81,Premium,D,VS1,62.3,58,4284,5.94,6,3.72
0.4,Good,E,SI1,63.6,57,687,4.65,4.69,2.97
0.31,Ideal,G,VVS1,62.5,54,1046,4.37,4.33,2.72
0.27,Ideal,E,VVS2,62.2,55,799,4.17,4.12,2.58
0.7,Ideal,I,SI2,62.1,57,2079,5.66,5.71,3.53
0.7,Premium,D,VVS2,61.5,60,3210,5.71,5.64,3.49
2.32,Very Good,H,SI2,60.6,58,18508,8.56,8.6,5.2
0.35,Good,E,SI2,64,55,588,4.49,4.45,2.86
1,Very Good,E,VVS2,59.5,59,9139,6.54,6.58,3.9
1,Fair,E,SI2,55.4,62,3011,6.63,6.59,3.66
0.92,Very Good,D,VVS2,62.8,58,7150,6.11,6.22,3.87
0.34,Ideal,G,VS2,62.1,55,596,4.46,4.49,2.78
0.71,Fair,H,SI1,65.1,56,2112,5.63,5.55,3.64
1.08,Good,D,SI1,63.8,59,5927,6.47,6.39,4.1
1.21,Very Good,H,SI2,61.1,55.7,5989,6.87,6.92,4.21
0.34,Ideal,E,SI2,62,56,477,4.45,4.48,2.77
1.26,Very Good,F,VS1,62.5,58,10284,6.83,6.94,4.3
1.01,Very Good,J,SI1,62.9,57,3499,6.35,6.37,4
0.31,Premium,E,VVS2,61.4,58,816,4.33,4.36,2.67
1,Premium,H,I1,61.3,60,2695,6.39,6.43,3.93
0.9,Very Good,F,SI1,62.5,60,3950,6.05,6.11,3.8
1.59,Ideal,G,VS2,61.8,56,9794,7.51,7.44,4.62
1.52,Very Good,E,SI2,63.3,58,10214,7.31,7.25,4.61
0.33,Premium,G,SI1,61.1,59,631,4.45,4.42,2.71
1.11,Very Good,H,VS1,63.2,57,6061,6.61,6.53,4.15
1,Premium,G,VS1,62.9,60,6989,6.36,6.29,3.98
1.2,Ideal,H,SI2,62.3,57,5040,6.83,6.75,4.23
1.15,Premium,G,VVS1,60.8,58,8863,6.74,6.77,4.11
0.33,Very Good,E,VVS2,62.3,56,893,4.4,4.44,2.75
1.45,Very Good,D,VVS2,62,56,17545,7.25,7.32,4.52
0.71,Very Good,E,VS1,61.5,57,3192,5.74,5.77,3.54
1,Very Good,E,VS2,62.9,59,6245,6.27,6.38,3.98
0.23,Good,E,VVS2,64.5,55,472,3.85,3.9,2.5
1.16,Ideal,D,VS1,61.2,58,10241,6.73,6.76,4.13
0.24,Very Good,E,VVS1,62.8,59,485,3.94,3.96,2.48
0.83,Good,H,SI2,63.9,56,2337,5.99,5.93,3.81
0.26,Very Good,G,VVS2,62.2,56,426,4.08,4.1,2.54
0.33,Premium,E,VS2,62,60,829,4.46,4.41,2.75
1.03,Premium,H,VS2,61.6,61,5364,6.51,6.44,3.99
0.53,Ideal,H,VS1,61.2,56,1601,5.23,5.26,3.21
0.52,Premium,E,VS1,61.6,58,1668,5.14,5.18,3.18
0.72,Ideal,G,VVS2,61,56,3295,5.8,5.84,3.55
1.71,Ideal,I,SI2,61.1,55,10438,7.78,7.73,4.74
0.52,Very Good,E,SI2,62.6,58,1372,5.05,5.17,3.2
1.01,Very Good,G,VS1,58.8,58,6777,6.52,6.61,3.86
1.2,Ideal,H,VS2,60.8,55,7190,6.9,6.85,4.18
1.06,Ideal,J,VS2,61.4,56,5459,6.55,6.6,4.04
0.72,Ideal,F,VS2,62,57,2607,5.77,5.72,3.56
0.38,Premium,D,SI1,59.7,60,941,4.69,4.66,2.79
0.4,Very Good,J,VS1,63.4,58,810,4.64,4.61,2.93
1.01,Premium,G,SI2,60.1,61,4327,6.6,6.55,3.95
0.34,Very Good,D,SI1,62.8,55,626,4.45,4.5,2.81
0.7,Fair,I,VS1,60.2,66,2234,5.77,5.62,3.44
0.91,Very Good,D,SI1,62.8,58,5033,6.16,6.19,3.88
0.43,Ideal,G,SI1,61.8,55,795,4.85,4.89,3.01
0.34,Premium,F,SI2,63,58,574,4.47,4.45,2.81
0.3,Very Good,F,VS2,62.8,58,605,4.24,4.29,2.68
1,Very Good,D,SI1,63.2,60,5851,6.31,6.35,4
0.53,Ideal,D,VS2,61.7,55,1857,5.21,5.23,3.22
1.51,Ideal,G,VVS2,60.5,56,15303,7.45,7.42,4.5
1.2,Premium,J,SI1,60.5,59,4536,6.84,6.79,4.12
0.69,Very Good,I,VS2,63.3,57,2070,5.64,5.57,3.55
1.28,Premium,D,SI2,61.2,58,6936,7.09,6.96,4.3
0.7,Ideal,F,SI1,62.6,56,2200,5.69,5.66,3.55
2.5,Ideal,J,SI2,64,55,14502,8.56,8.48,5.46
0.48,Fair,G,VVS2,65,54,1367,4.95,4.9,3.2
0.34,Ideal,E,SI1,62.3,57,765,4.51,4.48,2.8
0.35,Very Good,G,IF,62.6,59,898,4.43,4.49,2.79
0.42,Ideal,G,VVS1,61.9,56,1150,4.8,4.85,2.98
0.4,Good,E,SI1,63.2,56,687,4.69,4.74,2.98
1.03,Ideal,D,SI1,61,57,5804,6.48,6.53,3.97
1.52,Premium,I,SI2,62.5,56,7341,7.35,7.33,4.59
2.02,Ideal,J,SI1,59.8,60,12713,8.21,8.16,4.9
1.44,Ideal,G,I1,63.2,55,6096,7.21,7.18,4.54
0.31,Good,G,IF,63.9,58,924,4.27,4.3,2.74
0.71,Very Good,I,SI1,60,56,2502,5.86,5.83,3.51
0.44,Ideal,F,VVS2,60.9,55,1196,4.92,4.96,3.01
1.16,Ideal,J,IF,60.6,56,5519,6.79,6.86,4.14
0.79,Ideal,F,SI1,61.3,56,3163,5.96,6.01,3.67
0.47,Fair,D,IF,60.6,60,2211,5.09,4.98,3.05
1.1,Premium,G,VS1,58.4,60,7399,6.85,6.81,3.99
0.32,Ideal,F,VS1,61.9,56,716,4.39,4.43,2.73
2,Premium,H,SI1,63,54,14319,8.07,7.99,5.06
0.35,Premium,D,SI2,60.8,58,522,4.51,4.57,2.76
1.06,Very Good,E,VS1,63,58,7900,6.46,6.49,4.08
0.9,Very Good,E,SI1,60.7,61,3689,6.17,6.19,3.75
0.32,Ideal,D,VS2,60.5,56,758,4.45,4.48,2.7
1.15,Very Good,H,SI2,63.2,58,4767,6.64,6.68,4.21
0.53,Ideal,G,VVS1,61.8,56,2005,5.18,5.2,3.21
0.9,Ideal,E,SI1,62,56,5450,6.18,6.2,3.84
1.01,Good,E,SI1,64.2,56,4032,6.31,6.27,4.04
0.34,Premium,E,VS2,61.1,60,745,4.45,4.48,2.73
0.31,Very Good,G,SI2,62.3,57,408,4.33,4.37,2.71
0.7,Good,H,VS2,64.1,58,2137,5.51,5.57,3.55
1.08,Ideal,H,SI1,62.2,57,4333,6.56,6.6,4.09
1.01,Premium,H,SI2,61.6,61,2828,6.39,6.31,3.91
1.02,Premium,H,VS1,62.1,59,5469,6.38,6.43,3.98
0.32,Premium,H,VVS2,62.3,58,645,4.33,4.37,2.71
0.53,Ideal,D,VS2,60.9,57,1783,5.17,5.24,3.17
1.22,Ideal,F,VS2,61.5,57,8783,6.87,6.91,4.24
0.3,Ideal,E,VS2,60.2,57,658,4.36,4.38,2.63
1,Ideal,H,SI2,62.5,54,4163,6.32,6.38,3.97
0.36,Premium,I,VS2,61.6,58,648,4.57,4.52,2.8
0.26,Ideal,I,VS2,62,56,385,4.13,4.09,2.55
1.24,Good,E,SI2,58.5,57,5809,7.03,7.1,4.13
1.05,Ideal,J,SI2,62.3,54,4126,6.52,6.55,4.07
0.33,Ideal,G,VS2,62.2,56,743,4.47,4.44,2.77
2.04,Premium,H,SI2,62.8,57,13790,8.13,8.08,5.09
0.71,Fair,G,SI1,65,58,2045,5.57,5.53,3.61
0.31,Premium,I,VVS1,61,58,571,4.33,4.39,2.66
0.3,Ideal,E,VVS1,61.6,56,838,4.3,4.34,2.66
0.54,Premium,F,SI2,60,60,1240,5.27,5.22,3.24
1.59,Ideal,I,SI2,60.5,55,8975,7.62,7.55,4.59
0.4,Very Good,E,VVS2,63.7,59,1075,4.66,4.69,2.98
0.71,Premium,F,SI1,59.8,61,2633,5.81,5.79,3.47
0.93,Very Good,I,VS1,62.6,59,4033,6.17,6.2,3.87
1.31,Very Good,J,SI1,62.5,55,5382,6.97,7.05,4.38
1.01,Ideal,D,SI1,63,56,6579,6.36,6.41,4.02
2,Fair,I,SI2,65.9,57,10833,7.96,7.79,5.19
2.03,Very Good,G,SI1,60.1,60,18630,8.09,8.18,4.89
1.01,Good,D,VS2,62.5,62,6563,6.26,6.34,3.94
0.71,Premium,I,VS2,59.7,60,1923,5.83,5.86,3.49
0.65,Ideal,F,VS1,62.2,57,2340,5.6,5.53,3.46
0.71,Ideal,G,SI1,61.6,57,3007,5.73,5.76,3.54
0.62,Ideal,G,VS1,60.7,55,2206,5.55,5.59,3.38
0.71,Ideal,F,SI2,61.5,55,2668,5.78,5.75,3.54
0.54,Ideal,F,SI1,60.5,57,1385,5.25,5.27,3.18
1.74,Premium,I,VS2,58.6,59,12168,7.99,7.87,4.65
0.31,Good,E,SI1,63.9,56,544,4.27,4.31,2.74
0.32,Ideal,I,SI2,61.9,56,391,4.38,4.41,2.72
0.78,Ideal,H,VS2,61.6,56,2970,5.94,5.91,3.64
0.81,Very Good,G,SI2,62.9,56.9,2493,5.89,5.96,3.73
0.71,Very Good,E,VS2,63.4,60,2450,5.71,5.67,3.61
0.33,Ideal,H,VVS1,62.1,55,752,4.42,4.44,2.75
1.01,Ideal,I,VS1,62.8,57,3991,6.42,6.38,4.02
0.7,Very Good,E,VS1,62.2,55,3154,5.65,5.67,3.52
1.05,Premium,H,SI1,61.3,58,5228,6.52,6.47,3.98
0.78,Very Good,H,SI2,63.1,56,2348,5.84,5.88,3.7
0.78,Premium,E,VS1,62.5,57,3444,5.94,5.9,3.7
0.3,Ideal,J,VS1,62.6,53,373,4.28,4.32,2.69
0.35,Ideal,I,SI2,61.6,55,580,4.62,4.53,2.82
0.66,Ideal,I,SI1,61.2,57,1712,5.6,5.64,3.44
1.08,Ideal,H,SI2,61.4,57,5141,6.66,6.6,4.07
1.61,Ideal,I,SI1,62.7,55,9439,7.48,7.54,4.71
0.81,Ideal,G,SI2,62.2,57,2894,5.96,6,3.72
1,Ideal,F,SI2,61.3,56,4452,6.46,6.43,3.95
0.5,Premium,E,VS1,58.8,62,1698,5.17,5.14,3.03
0.51,Very Good,E,VS2,64.1,57,1549,5.02,5.06,3.23
0.33,Very Good,G,VS2,61.1,59,579,4.43,4.47,2.72
1.7,Good,H,SI1,64.1,58,9158,7.54,7.51,4.83
0.39,Ideal,J,VS2,61.4,57,746,4.72,4.66,2.88
0.38,Ideal,G,VVS1,61.7,55,993,4.67,4.7,2.89
0.71,Premium,E,VVS1,62.7,60,3779,5.73,5.62,3.56
0.71,Very Good,J,SI1,59.7,57,1979,5.84,5.88,3.5
1.51,Fair,G,I1,65.6,54,4167,7.28,7.1,4.72
1.12,Ideal,G,SI1,62,55,5451,6.65,6.68,4.13
2.01,Good,H,SI1,60.9,65,15618,8.22,8.18,4.99
1.5,Premium,H,VS1,59.9,60,11189,7.44,7.39,4.44
1.01,Very Good,F,VS1,62.6,56,8081,6.39,6.36,3.99
1.01,Fair,D,SI2,64.6,58,10011,6.25,6.2,4.02
2.05,Premium,G,SI1,61.6,59,15291,8.2,8.16,5.04
0.72,Good,J,VS1,63.7,54,1959,5.68,5.71,3.63
0.3,Very Good,E,VS2,62.6,62,614,4.21,4.25,2.65
0.72,Ideal,F,SI1,62.1,55,2440,5.73,5.8,3.58
0.71,Ideal,E,SI1,61.6,53,2258,5.79,5.73,3.55
0.73,Ideal,D,VVS2,61.3,56,4372,5.79,5.82,3.56
0.26,Ideal,E,VVS1,62,56,599,4.09,4.13,2.55
2.05,Premium,J,VS1,60.1,58,14411,8.19,8.25,4.94
1.2,Ideal,F,VS2,62.7,57,9176,6.71,6.76,4.22
1.05,Good,J,VS1,57.8,64,3881,6.74,6.67,3.88
0.24,Very Good,E,VVS2,62.2,56,608,3.96,3.98,2.47
0.79,Ideal,I,VS2,63,58,2712,5.85,5.89,3.7
0.88,Very Good,H,VS2,63.2,57,3472,6.08,6.15,3.87
0.34,Very Good,H,VVS1,63.2,58,995,4.45,4.41,2.8
1.11,Very Good,J,SI1,62,58,3901,6.57,6.62,4.09
1.02,Ideal,G,VS2,60.6,56,6333,6.56,6.52,3.96
0.7,Fair,G,VS1,65.6,60,2384,5.57,5.5,3.63
0.41,Ideal,F,VVS2,62.5,56,1115,4.72,4.75,2.96
1.56,Ideal,J,SI2,62.1,55,5766,7.45,7.41,4.62
1.03,Premium,H,SI1,61.9,58,4932,6.49,6.43,4
1.06,Ideal,G,SI1,62,57,5342,6.54,6.5,4.04
0.41,Ideal,F,VS1,61.8,56,1007,4.75,4.79,2.95
0.38,Ideal,F,IF,62.2,54,1229,4.68,4.71,2.92
1.52,Ideal,H,VS2,61.8,54,11379,7.42,7.43,4.59
0.9,Good,J,VS2,63.9,58,3024,6.15,6.08,3.91
1.01,Very Good,D,VS2,60.4,58,6905,6.47,6.57,3.94
1.01,Premium,D,VVS2,62.4,60,10221,6.31,6.36,3.95
0.7,Very Good,F,VS1,60.1,58,2959,5.73,5.79,3.46
0.33,Ideal,H,IF,61.6,55,820,4.44,4.47,2.74
0.38,Premium,I,SI1,60.5,58,746,4.72,4.67,2.84
1.51,Ideal,G,VS2,61.8,54,14482,7.42,7.38,4.57
1.09,Ideal,H,SI1,61.1,57,5125,6.62,6.71,4.07
1.51,Ideal,G,VS2,62.1,55,14482,7.38,7.33,4.56
1.14,Very Good,I,VS2,62.5,59,4785,6.63,6.66,4.15
0.32,Ideal,D,VVS2,59.9,59,854,4.45,4.46,2.67
0.46,Very Good,H,VVS1,62,56,1572,4.96,4.98,3.07
1.24,Ideal,F,SI2,60,56,5000,7.03,7,4.21
0.52,Ideal,D,VS1,61.3,56,2550,5.21,5.22,3.2
0.4,Ideal,H,VS1,61.8,59,1017,4.74,4.72,2.92
0.42,Ideal,H,VS1,61.2,57,1048,4.87,4.8,2.96
0.54,Ideal,H,SI1,62.5,53,1227,5.22,5.25,3.27
1.1,Ideal,H,VVS2,59.7,58,6616,6.76,6.7,4.01
0.56,Ideal,G,VS2,61,57,1580,5.32,5.34,3.25
0.79,Ideal,E,SI1,60.3,56,3171,5.99,6.05,3.63
0.7,Ideal,D,VS1,62.6,58,3287,5.64,5.67,3.54
0.38,Ideal,F,VS2,62.1,57,800,4.61,4.67,2.88
0.72,Very Good,F,VS2,63.6,58,2787,5.66,5.69,3.61
0.9,Good,H,SI1,64.4,58,3465,6.04,6.08,3.9
0.43,Ideal,H,VS2,60.7,55,857,4.96,4.89,2.99
0.78,Ideal,H,SI1,61.1,57,2616,5.9,5.94,3.62
0.9,Fair,G,I1,65.1,58,1939,6.05,5.99,3.92
0.34,Ideal,F,SI1,59.4,57,491,4.54,4.58,2.71
0.31,Ideal,H,VVS1,61.6,55,907,4.38,4.35,2.69
0.5,Very Good,D,VS2,63.4,56,1758,5.1,5.05,3.22
0.34,Ideal,D,VVS1,61.7,56,1133,4.46,4.48,2.76
0.34,Ideal,D,SI1,61.2,57,803,4.51,4.48,2.75
0.4,Premium,F,SI1,62.6,59,945,4.74,4.68,2.95
1.51,Premium,J,VS2,62.8,59,7553,7.28,7.2,4.55
0.31,Premium,G,VVS1,61.2,59,1046,4.34,4.32,2.65
0.7,Very Good,F,VS2,59.5,58,2812,5.75,5.85,3.45
0.75,Premium,I,SI1,62.5,58,2122,5.77,5.82,3.62
0.63,Premium,H,VS1,62.9,60,1921,5.45,5.33,3.39
1.21,Ideal,E,SI1,62.1,56,7955,6.83,6.88,4.26
1.01,Very Good,D,SI1,63.2,58,5654,6.28,6.34,3.99
1.16,Premium,H,SI1,61.9,59,5091,6.73,6.74,4.17
0.3,Premium,G,VVS1,62.6,62,945,4.26,4.21,2.65
0.3,Ideal,D,VS2,62.4,55,790,4.32,4.3,2.69
0.3,Ideal,H,VVS1,62.3,55,665,4.3,4.33,2.69
0.5,Very Good,H,VS1,62.5,59,1429,5.01,5.04,3.14
0.37,Premium,E,SI1,59.3,58,833,4.75,4.73,2.81
0.9,Premium,G,SI1,60.6,60,3407,6.22,6.15,3.75
0.44,Premium,F,VS1,61.9,59,1155,4.88,4.84,3.01
1.51,Very Good,E,SI1,61.8,57,9474,7.36,7.43,4.57
2.03,Ideal,I,SI2,61.1,56,11172,8.22,8.17,5.01
0.9,Good,I,SI1,63,53,3196,6.08,6.15,3.85
1.36,Good,G,SI1,63.8,55,7639,6.97,6.94,4.44
1.11,Very Good,G,SI2,58.5,61,4816,6.74,6.8,3.96
0.74,Ideal,G,VVS1,62.1,54,3537,5.8,5.83,3.61
1.13,Premium,D,SI2,60.9,59,5133,6.65,6.72,4.07
0.34,Premium,J,VS2,62.3,60,417,4.46,4.49,2.79
1.24,Fair,G,SI2,65.7,57,4058,6.72,6.68,4.4
0.73,Very Good,F,SI1,60.4,57,2549,5.86,5.89,3.55
1.02,Very Good,I,SI1,60.4,58,3927,6.52,6.56,3.95
1,Premium,F,VS2,62.4,60,6468,6.38,6.35,3.97
0.9,Premium,E,SI1,59.8,55,4385,6.34,6.3,3.78
0.32,Ideal,F,VS2,62.5,56,828,4.4,4.37,2.74
1.03,Ideal,F,VVS2,62.1,55,9131,6.47,6.5,4.03
0.28,Very Good,D,VVS2,64,56,532,4.14,4.17,2.66
2.06,Premium,I,SI2,61.1,57,12842,8.3,8.24,5.05
0.7,Fair,G,I1,66.9,55,1001,5.6,5.52,3.72
0.42,Ideal,G,VS2,62.1,56,847,4.79,4.84,2.99
0.71,Very Good,I,VVS2,60.6,56,2586,5.82,5.77,3.51
0.43,Premium,H,SI1,59,58,716,4.93,4.96,2.92
0.84,Ideal,G,VS2,62,55,3936,6.07,6.09,3.77
0.32,Ideal,E,VS2,62.3,54,900,4.4,4.37,2.73
2.16,Premium,J,VVS1,61.5,58,17891,8.36,8.26,5.11
0.51,Very Good,H,VS1,62.3,56,1628,5.1,5.13,3.18
1.05,Premium,G,SI1,59.1,57,4510,6.73,6.63,3.95
0.52,Very Good,H,SI1,62.6,55,1111,5.12,5.16,3.22
0.7,Ideal,G,SI2,61.3,58,2234,5.67,5.69,3.48
0.6,Ideal,F,SI2,61.7,56,1562,5.41,5.38,3.33
0.9,Very Good,G,VS2,62.4,60,4182,6.07,6.11,3.8
